name,l_deg,b_deg,radius_deg
4FGL J0047.3+6943 ,122.57157560025021,6.853439616546195,0.4
4FGL J0047.5-2517 ,97.57447925074592,-87.96936298035305,0.4
4FGL J0047.9+3947 ,122.19439986540654,-23.069187821644757,0.4
4FGL J0047.9+5448 ,122.42412556263457,-8.066605599414048,0.4
4FGL J0047.9+2233 ,121.88890578322719,-40.301569323970696,0.4
4FGL J0048.6-6347 ,303.4429552615612,-53.33411116268093,0.4
4FGL J0048.6-2427 ,109.72773792747637,-87.2549391196414,0.4
4FGL J0049.0+2252 ,122.20132672280195,-39.99479958053337,0.4
4FGL J0049.1+4223 ,122.47285908889296,-20.479574348059543,0.4
4FGL J0049.2+6227 ,122.67843789207053,-0.4080691106570502,0.4
4FGL J0049.4-5402 ,303.58144281944806,-63.08902704544331,0.4
4FGL J0049.5-4150 ,304.28678546293116,-75.27738781227191,0.4
4FGL J0049.6-4500 ,303.94652952373144,-72.11618265156162,0.4
4FGL J0049.7+0237 ,122.08302410395446,-60.24166681415579,0.4
4FGL J0050.0-5736 ,303.2905954497382,-59.5109036491619,0.4
4FGL J0050.4-0452 ,122.28093298245273,-67.75109686849105,0.4
4FGL J0050.7-0929 ,122.33231272379919,-72.36448996102258,0.4
4FGL J0050.8+3330 ,122.78768235425282,-29.36037907508592,0.4
4FGL J0050.8-3428 ,303.8429895817448,-82.65975563160848,0.4
4FGL J0051.1-0648 ,122.71152026294844,-69.68121563500617,0.4
4FGL J0051.2-6242 ,302.95965473330466,-54.424546937258334,0.4
4FGL J0051.5-4220 ,302.8761094314368,-74.78274436431056,0.4
4FGL J0052.1+6444 ,123.01040284596463,1.870361560084221,0.4
4FGL J0052.9-6644 ,302.6906139133516,-50.39122614939493,0.4
4FGL J0054.4+8627 ,122.9824105533469,23.581644607639568,0.4
4FGL J0054.4-1503 ,126.4454671977296,-77.90825547128671,0.4
4FGL J0054.7-2455 ,141.98654118209836,-87.68008956731327,0.4
4FGL J0054.8-1954 ,129.22900571924936,-82.74241568085344,0.4
4FGL J0055.1-1219 ,126.44882866820124,-75.16698502605232,0.4
4FGL J0055.7+4507 ,123.73213013086071,-17.740634541560013,0.4
4FGL J0056.3-0935 ,126.9463466833125,-72.43315255043778,0.4
4FGL J0056.4-2118 ,134.3630667680282,-84.06238111832128,0.4
4FGL J0056.5-3936 ,298.35914210644995,-77.47163309260137,0.4
4FGL J0056.6-4452 ,299.92383759908444,-72.22507965256099,0.4
4FGL J0056.6-5317 ,301.17151335074004,-63.81487917844729,0.4
4FGL J0056.8+1626 ,124.79984768127761,-46.41627025139828,0.4
4FGL J0057.0+4101 ,124.06494328007074,-21.841582627982575,0.4
4FGL J0057.3+2216 ,124.73769407028686,-40.577960717109306,0.4
